epochs	hours	top1Accuracy
0	0.0017096885535607322	43.01
1	0.002014654797450122	38.24
2	0.0022209631799746097	66.17
3	0.002427917975259738	75.73
4	0.0026350333813914203	80.62
5	0.002842318152478482	89.11
6	0.0030493709932650544	88.02
7	0.003257148673874326	90.69
8	0.003465965626657837	90.73
9	0.003673452926062358	92.43
10	0.003880154155518135	93.15
11	0.004087570341911892	93.62
12	0.004295219395490778	93.77
